device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
218359;30/08/2024 07:08:32;30/08/2024 07:08:33;poll_msg;38.3818912;-2.6987328;30/08/2024 07:23:33;;;;30/08/2024 07:00:00
218359;30/08/2024 07:23:33;30/08/2024 07:23:33;poll_msg;38.3820096;-2.6985167;30/08/2024 07:38:33;;;;30/08/2024 07:00:00
218359;30/08/2024 07:38:33;30/08/2024 07:38:33;poll_msg;38.3820602;-2.6984149;30/08/2024 07:47:46;;;;30/08/2024 07:00:00
218359;30/08/2024 07:47:46;30/08/2024 07:47:46;warn_msg;38.3820787;-2.6983771;30/08/2024 07:53:32;;;;30/08/2024 07:00:00
218359;30/08/2024 07:53:32;30/08/2024 07:53:33;poll_msg;38.3818975;-2.6983828;30/08/2024 08:08:33;;;;30/08/2024 07:00:00
218387;30/08/2024 07:14:50;30/08/2024 07:14:50;poll_msg;38.3816326;-2.6991079;30/08/2024 07:29:50;;;;30/08/2024 07:00:00
218387;30/08/2024 07:29:50;30/08/2024 07:29:50;poll_msg;38.3816498;-2.6991341;30/08/2024 07:44:47;;;;30/08/2024 07:00:00
218387;30/08/2024 07:44:47;30/08/2024 07:44:50;poll_msg;38.3818872;-2.6987562;30/08/2024 07:59:47;;;;30/08/2024 07:00:00
218387;30/08/2024 07:59:47;30/08/2024 07:59:50;poll_msg;38.381741;-2.6984231;30/08/2024 08:14:47;;;;30/08/2024 07:00:00
218390;30/08/2024 07:02:35;30/08/2024 07:02:35;warn_msg;38.3818818;-2.699183;30/08/2024 07:13:58;;;;30/08/2024 07:00:00
218390;30/08/2024 07:13:58;30/08/2024 07:13:58;poll_msg;38.3821368;-2.6990301;30/08/2024 07:26:32;;;;30/08/2024 07:00:00
218390;30/08/2024 07:26:32;30/08/2024 07:26:32;warn_msg;38.3821341;-2.6990951;30/08/2024 07:28:58;;;;30/08/2024 07:00:00
218390;30/08/2024 07:28:58;30/08/2024 07:28:58;poll_msg;38.3820713;-2.6990843;30/08/2024 07:30:52;;;;30/08/2024 07:00:00
218390;30/08/2024 07:30:52;30/08/2024 07:30:52;warn_msg;38.3820828;-2.699119;30/08/2024 07:36:08;;;;30/08/2024 07:00:00
218390;30/08/2024 07:36:08;30/08/2024 07:36:08;warn_msg;38.3821038;-2.699109;30/08/2024 07:43:57;;;;30/08/2024 07:00:00
218390;30/08/2024 07:43:57;30/08/2024 07:43:58;poll_msg;38.3818686;-2.6986373;30/08/2024 07:56:02;;;;30/08/2024 07:00:00
218390;30/08/2024 07:56:02;30/08/2024 07:58:58;poll_msg;38.3817061;-2.6983551;30/08/2024 07:56:02;;;;30/08/2024 07:00:00
218390;30/08/2024 07:56:02;30/08/2024 08:13:58;poll_msg;38.3817061;-2.6983551;30/08/2024 08:25:38;;;;30/08/2024 07:00:00
218462;30/08/2024 07:12:32;30/08/2024 07:12:32;poll_msg;38.3817646;-2.6987825;30/08/2024 07:27:32;;;;30/08/2024 07:00:00
218462;30/08/2024 07:27:32;30/08/2024 07:27:32;poll_msg;38.3819459;-2.6986558;30/08/2024 07:42:32;;;;30/08/2024 07:00:00
218462;30/08/2024 07:42:32;30/08/2024 07:42:32;poll_msg;38.3820541;-2.6985109;30/08/2024 07:42:47;;;;30/08/2024 07:00:00
218462;30/08/2024 07:42:47;30/08/2024 07:42:47;poll_msg;38.382048;-2.6985126;30/08/2024 07:51:48;;;;30/08/2024 07:00:00
218462;30/08/2024 07:51:48;30/08/2024 07:57:26;poll_msg;38.3819265;-2.6985423;30/08/2024 08:12:22;;;;30/08/2024 07:00:00
218960;30/08/2024 07:01:17;30/08/2024 07:01:19;poll_msg;38.3821153;-2.6988872;30/08/2024 07:16:19;;;;30/08/2024 07:00:00
218960;30/08/2024 07:16:19;30/08/2024 07:16:19;poll_msg;38.3820972;-2.6986782;30/08/2024 07:20:27;;;;30/08/2024 07:00:00
218960;30/08/2024 07:20:27;30/08/2024 07:20:27;warn_msg;38.3821625;-2.6985829;30/08/2024 07:24:30;;;;30/08/2024 07:00:00
218960;30/08/2024 07:24:30;30/08/2024 07:24:30;warn_msg;38.3821295;-2.698516;30/08/2024 07:26:21;;;;30/08/2024 07:00:00
218960;30/08/2024 07:26:21;30/08/2024 07:26:21;warn_msg;38.3821231;-2.698499;30/08/2024 07:28:42;;;;30/08/2024 07:00:00
218960;30/08/2024 07:28:42;30/08/2024 07:28:42;warn_msg;38.3820978;-2.6984298;30/08/2024 07:31:19;;;;30/08/2024 07:00:00
218960;30/08/2024 07:31:19;30/08/2024 07:31:19;poll_msg;38.3820283;-2.6984102;30/08/2024 07:33:51;;;;30/08/2024 07:00:00
218960;30/08/2024 07:33:51;30/08/2024 07:33:51;warn_msg;38.3820681;-2.6983474;30/08/2024 07:35:36;;;;30/08/2024 07:00:00
