device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
229107;12/11/2024 18:08:42;12/11/2024 18:11:14;poll_msg;38.380826;-2.6933563;12/11/2024 18:15:54;fence;sleep;normal;12/11/2024 18:00:00
229107;12/11/2024 18:15:54;12/11/2024 18:26:14;poll_msg;38.3808549;-2.6933554;12/11/2024 18:15:54;fence;sleep;normal;12/11/2024 18:00:00
229107;12/11/2024 18:15:54;12/11/2024 18:41:15;poll_msg;38.3808549;-2.6933554;12/11/2024 18:52:37;fence;sleep;normal;12/11/2024 18:00:00
229107;12/11/2024 18:52:37;12/11/2024 18:56:15;poll_msg;38.3808536;-2.693396;12/11/2024 19:11:12;fence;sleep;normal;12/11/2024 18:00:00
229111;12/11/2024 18:16:17;12/11/2024 18:17:10;poll_msg;38.3807264;-2.6934898;12/11/2024 18:16:17;fence;sleep;normal;12/11/2024 18:00:00
229111;12/11/2024 18:16:17;12/11/2024 18:17:24;poll_msg;38.3807264;-2.6934898;12/11/2024 18:22:02;fence;sleep;normal;12/11/2024 18:00:00
229111;12/11/2024 18:22:02;12/11/2024 18:31:57;poll_msg;38.3806783;-2.6935335;12/11/2024 18:22:02;fence;sleep;normal;12/11/2024 18:00:00
229111;12/11/2024 18:22:02;12/11/2024 18:46:57;poll_msg;38.3806783;-2.6935335;12/11/2024 19:01:12;fence;sleep;normal;12/11/2024 18:00:00
229116;12/11/2024 18:30:34;12/11/2024 18:30:34;poll_msg;38.3808442;-2.6933219;12/11/2024 18:32:17;fence;normal;normal;12/11/2024 18:00:00
229116;12/11/2024 18:32:17;12/11/2024 18:45:40;poll_msg;38.3808245;-2.6932938;12/11/2024 18:32:17;fence;sleep;normal;12/11/2024 18:00:00
229116;12/11/2024 18:32:17;12/11/2024 19:00:40;poll_msg;38.3808245;-2.6932938;12/11/2024 18:32:17;fence;sleep;normal;12/11/2024 18:00:00
229116;12/11/2024 18:32:17;12/11/2024 19:15:46;poll_msg;38.3808245;-2.6932938;12/11/2024 18:32:17;fence;sleep;normal;12/11/2024 18:00:00
229116;12/11/2024 18:32:17;12/11/2024 19:30:42;poll_msg;38.3808245;-2.6932938;12/11/2024 19:39:47;fence;sleep;normal;12/11/2024 18:00:00
229175;12/11/2024 18:45:32;12/11/2024 18:48:13;poll_msg;38.3805525;-2.6934304;12/11/2024 18:45:32;fence;sleep;normal;12/11/2024 18:00:00
229175;12/11/2024 18:45:32;12/11/2024 18:48:40;poll_msg;38.3805525;-2.6934304;12/11/2024 19:00:47;fence;sleep;normal;12/11/2024 18:00:00
229181;12/11/2024 18:09:52;12/11/2024 18:14:12;poll_msg;38.3806726;-2.6931619;12/11/2024 18:09:52;fence;sleep;normal;12/11/2024 18:00:00
229181;12/11/2024 18:09:52;12/11/2024 18:29:12;poll_msg;38.3806726;-2.6931619;12/11/2024 18:09:52;fence;sleep;normal;12/11/2024 18:00:00
229181;12/11/2024 18:09:52;12/11/2024 18:44:12;poll_msg;38.3806726;-2.6931619;12/11/2024 18:53:17;fence;sleep;normal;12/11/2024 18:00:00
229181;12/11/2024 18:53:17;12/11/2024 18:59:12;poll_msg;38.38082;-2.6932152;12/11/2024 18:53:17;fence;sleep;normal;12/11/2024 18:00:00
229181;12/11/2024 18:53:17;12/11/2024 19:14:13;poll_msg;38.38082;-2.6932152;12/11/2024 18:53:17;fence;sleep;normal;12/11/2024 18:00:00
229181;12/11/2024 18:53:17;12/11/2024 19:29:12;poll_msg;38.38082;-2.6932152;12/11/2024 19:39:47;fence;sleep;normal;12/11/2024 18:00:00
229198;12/11/2024 18:27:07;12/11/2024 18:28:45;poll_msg;38.3805763;-2.6932881;12/11/2024 18:27:07;fence;sleep;normal;12/11/2024 18:00:00
229198;12/11/2024 18:27:07;12/11/2024 18:43:45;poll_msg;38.3805763;-2.6932881;12/11/2024 18:27:07;fence;sleep;normal;12/11/2024 18:00:00
229198;12/11/2024 18:27:07;12/11/2024 18:58:46;poll_msg;38.3805763;-2.6932881;12/11/2024 18:59:42;fence;sleep;normal;12/11/2024 18:00:00
229198;12/11/2024 18:59:42;12/11/2024 19:13:45;poll_msg;38.3806689;-2.6932419;12/11/2024 19:24:37;fence;sleep;normal;12/11/2024 18:00:00
229327;12/11/2024 18:13:02;12/11/2024 18:15:05;poll_msg;38.3807671;-2.6935319;12/11/2024 18:13:02;fence;sleep;normal;12/11/2024 18:00:00
229327;12/11/2024 18:13:02;12/11/2024 18:30:05;poll_msg;38.3807671;-2.6935319;12/11/2024 18:13:02;fence;sleep;normal;12/11/2024 18:00:00
229327;12/11/2024 18:13:02;12/11/2024 18:45:05;poll_msg;38.3807671;-2.6935319;12/11/2024 18:13:02;fence;sleep;normal;12/11/2024 18:00:00
229327;12/11/2024 18:13:02;12/11/2024 19:00:05;poll_msg;38.3807671;-2.6935319;12/11/2024 19:13:12;fence;sleep;normal;12/11/2024 18:00:00
229344;12/11/2024 18:06:22;12/11/2024 18:17:31;poll_msg;38.3807916;-2.6932147;12/11/2024 18:28:37;fence;sleep;normal;12/11/2024 18:00:00
229344;12/11/2024 18:28:37;12/11/2024 18:32:30;poll_msg;38.3807327;-2.6931906;12/11/2024 18:40:47;fence;sleep;normal;12/11/2024 18:00:00
229344;12/11/2024 18:40:47;12/11/2024 18:47:30;poll_msg;38.3807384;-2.6932773;12/11/2024 18:53:27;fence;sleep;normal;12/11/2024 18:00:00
229344;12/11/2024 18:53:27;12/11/2024 19:02:30;poll_msg;38.3806929;-2.6933451;12/11/2024 19:17:27;fence;sleep;normal;12/11/2024 18:00:00
246050;12/11/2024 18:05:37;12/11/2024 18:05:38;poll_msg;38.3807233;-2.6931924;12/11/2024 18:05:57;fence;normal;normal;12/11/2024 18:00:00
246050;12/11/2024 18:05:57;12/11/2024 18:20:37;poll_msg;38.380732;-2.6931894;12/11/2024 18:05:57;fence;sleep;normal;12/11/2024 18:00:00
246050;12/11/2024 18:05:57;12/11/2024 18:35:36;poll_msg;38.380732;-2.6931894;12/11/2024 18:05:57;fence;sleep;normal;12/11/2024 18:00:00
246050;12/11/2024 18:05:57;12/11/2024 18:50:36;poll_msg;38.380732;-2.6931894;12/11/2024 18:05:57;fence;sleep;normal;12/11/2024 18:00:00
246050;12/11/2024 18:05:57;12/11/2024 19:05:47;poll_msg;38.380732;-2.6931894;12/11/2024 19:10:36;fence;sleep;normal;12/11/2024 18:00:00
246064;12/11/2024 18:18:57;12/11/2024 18:18:57;poll_msg;38.3807781;-2.6932277;12/11/2024 18:30:57;fence;normal;normal;12/11/2024 18:00:00
246064;12/11/2024 18:30:57;12/11/2024 18:33:56;poll_msg;38.3806827;-2.6932727;12/11/2024 18:30:57;fence;sleep;normal;12/11/2024 18:00:00
