device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
229107;11/10/2024 14:01:17;11/10/2024 14:01:17;poll_msg;38.3841884;-2.6897786;11/10/2024 14:16:17;fence;normal;normal;11/10/2024 14:00:00
229107;11/10/2024 14:16:17;11/10/2024 14:16:17;poll_msg;38.3840944;-2.6898814;11/10/2024 14:30:23;fence;normal;normal;11/10/2024 14:00:00
229107;11/10/2024 14:30:23;11/10/2024 14:31:17;poll_msg;38.3841284;-2.6899826;11/10/2024 14:46:16;fence;sleep;normal;11/10/2024 14:00:00
229107;11/10/2024 14:46:16;11/10/2024 14:46:16;poll_msg;38.3839284;-2.6898257;11/10/2024 15:01:17;fence;normal;normal;11/10/2024 14:00:00
229111;11/10/2024 14:06:22;11/10/2024 14:12:41;poll_msg;38.3842568;-2.6897234;11/10/2024 14:06:22;fence;sleep;normal;11/10/2024 14:00:00
229111;11/10/2024 14:06:22;11/10/2024 14:27:42;poll_msg;38.3842568;-2.6897234;11/10/2024 14:37:32;fence;sleep;normal;11/10/2024 14:00:00
229111;11/10/2024 14:37:32;11/10/2024 14:42:42;poll_msg;38.384187;-2.6895701;11/10/2024 14:37:32;fence;sleep;normal;11/10/2024 14:00:00
229111;11/10/2024 14:37:32;11/10/2024 14:57:43;poll_msg;38.384187;-2.6895701;11/10/2024 14:37:32;fence;sleep;normal;11/10/2024 14:00:00
229111;11/10/2024 14:37:32;11/10/2024 15:12:42;poll_msg;38.384187;-2.6895701;11/10/2024 14:37:32;fence;sleep;normal;11/10/2024 14:00:00
229111;11/10/2024 14:37:32;11/10/2024 15:27:41;poll_msg;38.384187;-2.6895701;11/10/2024 14:37:32;fence;sleep;normal;11/10/2024 14:00:00
229111;11/10/2024 14:37:32;11/10/2024 15:42:41;poll_msg;38.384187;-2.6895701;11/10/2024 15:57:37;fence;sleep;normal;11/10/2024 14:00:00
229116;11/10/2024 14:08:37;11/10/2024 14:14:00;poll_msg;38.3841836;-2.6896314;11/10/2024 14:28:57;fence;sleep;normal;11/10/2024 14:00:00
229116;11/10/2024 14:28:57;11/10/2024 14:29:00;poll_msg;38.3841596;-2.6896463;11/10/2024 14:31:17;fence;normal;normal;11/10/2024 14:00:00
229116;11/10/2024 14:31:17;11/10/2024 14:44:00;poll_msg;38.3841649;-2.6896937;11/10/2024 14:59:00;fence;sleep;normal;11/10/2024 14:00:00
229116;11/10/2024 14:59:00;11/10/2024 14:59:00;poll_msg;38.3844347;-2.6894955;11/10/2024 15:13:57;fence;normal;normal;11/10/2024 14:00:00
229175;11/10/2024 14:00:48;11/10/2024 14:00:48;poll_msg;38.3841226;-2.6899662;11/10/2024 14:15:48;fence;normal;normal;11/10/2024 14:00:00
229175;11/10/2024 14:15:48;11/10/2024 14:15:48;poll_msg;38.3841055;-2.6899311;11/10/2024 14:28:37;fence;normal;normal;11/10/2024 14:00:00
229175;11/10/2024 14:28:37;11/10/2024 14:30:47;poll_msg;38.3842077;-2.689725;11/10/2024 14:28:37;fence;sleep;normal;11/10/2024 14:00:00
229175;11/10/2024 14:28:37;11/10/2024 14:45:48;poll_msg;38.3842077;-2.689725;11/10/2024 14:28:37;fence;sleep;normal;11/10/2024 14:00:00
229175;11/10/2024 14:28:37;11/10/2024 15:00:48;poll_msg;38.3842077;-2.689725;11/10/2024 15:15:47;fence;sleep;normal;11/10/2024 14:00:00
229181;11/10/2024 14:03:18;11/10/2024 14:13:02;poll_msg;38.3840279;-2.6898022;11/10/2024 14:27:57;fence;sleep;normal;11/10/2024 14:00:00
229181;11/10/2024 14:27:57;11/10/2024 14:28:01;poll_msg;38.3841702;-2.6898175;11/10/2024 14:43:01;fence;normal;normal;11/10/2024 14:00:00
229181;11/10/2024 14:43:01;11/10/2024 14:43:01;poll_msg;38.3840357;-2.6898581;11/10/2024 14:58:14;fence;normal;normal;11/10/2024 14:00:00
229181;11/10/2024 14:58:14;11/10/2024 14:58:14;poll_msg;38.3839475;-2.6898089;11/10/2024 14:58:29;fence;normal;normal;11/10/2024 14:00:00
229181;11/10/2024 14:58:29;11/10/2024 14:58:29;poll_msg;38.3839443;-2.6898093;11/10/2024 15:13:02;fence;normal;normal;11/10/2024 14:00:00
229198;11/10/2024 14:12:47;11/10/2024 14:14:41;poll_msg;38.384159;-2.6897467;11/10/2024 14:12:47;fence;sleep;normal;11/10/2024 14:00:00
229198;11/10/2024 14:12:47;11/10/2024 14:29:41;poll_msg;38.384159;-2.6897467;11/10/2024 14:12:47;fence;sleep;normal;11/10/2024 14:00:00
229198;11/10/2024 14:12:47;11/10/2024 14:44:41;poll_msg;38.384159;-2.6897467;11/10/2024 14:59:37;fence;sleep;normal;11/10/2024 14:00:00
229198;11/10/2024 14:59:37;11/10/2024 14:59:41;poll_msg;38.3844343;-2.6898224;11/10/2024 15:14:37;fence;normal;normal;11/10/2024 14:00:00
229327;11/10/2024 14:13:22;11/10/2024 14:13:23;poll_msg;38.3841549;-2.6898331;11/10/2024 14:28:22;fence;normal;normal;11/10/2024 14:00:00
229327;11/10/2024 14:28:22;11/10/2024 14:28:22;poll_msg;38.3842204;-2.6898059;11/10/2024 14:43:22;fence;normal;normal;11/10/2024 14:00:00
229327;11/10/2024 14:43:22;11/10/2024 14:43:23;poll_msg;38.3841213;-2.6898402;11/10/2024 14:58:22;fence;normal;normal;11/10/2024 14:00:00
229327;11/10/2024 14:58:22;11/10/2024 14:58:23;poll_msg;38.3843616;-2.689802;11/10/2024 15:13:22;fence;normal;normal;11/10/2024 14:00:00
229344;11/10/2024 14:11:41;11/10/2024 14:11:41;poll_msg;38.3843515;-2.6901058;11/10/2024 14:26:41;fence;normal;normal;11/10/2024 14:00:00
229344;11/10/2024 14:26:41;11/10/2024 14:26:41;poll_msg;38.3841915;-2.6899864;11/10/2024 14:27:06;fence;normal;normal;11/10/2024 14:00:00
229344;11/10/2024 14:27:06;11/10/2024 14:27:06;poll_msg;38.3841608;-2.6899939;11/10/2024 14:41:47;fence;normal;normal;11/10/2024 14:00:00
229344;11/10/2024 14:41:47;11/10/2024 14:41:47;poll_msg;38.3841931;-2.6899361;11/10/2024 14:56:47;fence;normal;normal;11/10/2024 14:00:00
229344;11/10/2024 14:56:47;11/10/2024 14:56:48;poll_msg;38.3843581;-2.6898016;11/10/2024 15:11:47;fence;normal;normal;11/10/2024 14:00:00
246050;11/10/2024 14:00:57;11/10/2024 14:01:01;poll_msg;38.3840801;-2.6898052;11/10/2024 14:15:57;fence;normal;normal;11/10/2024 14:00:00
246050;11/10/2024 14:15:57;11/10/2024 14:16:01;poll_msg;38.3840801;-2.6898714;11/10/2024 14:31:01;fence;normal;normal;11/10/2024 14:00:00
246050;11/10/2024 14:31:01;11/10/2024 14:31:01;poll_msg;38.3839466;-2.6899177;11/10/2024 14:32:04;fence;normal;normal;11/10/2024 14:00:00
246050;11/10/2024 14:32:04;11/10/2024 14:32:04;warn_msg;38.3839219;-2.6899337;11/10/2024 14:46:01;unknown;unknown;unknown;11/10/2024 14:00:00
246050;11/10/2024 14:46:01;11/10/2024 14:46:01;poll_msg;38.3839061;-2.6897708;11/10/2024 15:00:57;fence;normal;normal;11/10/2024 14:00:00
246064;11/10/2024 14:05:37;11/10/2024 14:15:53;poll_msg;38.3841431;-2.6897855;11/10/2024 14:30:52;fence;sleep;normal;11/10/2024 14:00:00
246064;11/10/2024 14:30:52;11/10/2024 14:30:54;poll_msg;38.3841501;-2.6898717;11/10/2024 14:45:57;fence;normal;normal;11/10/2024 14:00:00
246064;11/10/2024 14:45:57;11/10/2024 14:46:00;poll_msg;38.3840939;-2.6896609;11/10/2024 15:00:52;fence;normal;normal;11/10/2024 14:00:00
