device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
229107;03/11/2024 09:01:22;03/11/2024 09:01:26;poll_msg;38.3807924;-2.6933306;03/11/2024 09:16:22;fence;normal;normal;03/11/2024 09:00:00
229107;03/11/2024 09:16:22;03/11/2024 09:16:26;poll_msg;38.3808405;-2.6936945;03/11/2024 09:30:17;fence;normal;normal;03/11/2024 09:00:00
229107;03/11/2024 09:30:17;03/11/2024 09:31:26;poll_msg;38.3808664;-2.6937035;03/11/2024 09:46:22;fence;sleep;normal;03/11/2024 09:00:00
229107;03/11/2024 09:46:22;03/11/2024 09:46:26;poll_msg;38.3808724;-2.6937468;03/11/2024 10:01:22;fence;normal;normal;03/11/2024 09:00:00
229111;03/11/2024 09:12:17;03/11/2024 09:12:20;poll_msg;38.3804741;-2.693531;03/11/2024 09:17:27;fence;normal;normal;03/11/2024 09:00:00
229111;03/11/2024 09:17:27;03/11/2024 09:27:16;poll_msg;38.3804722;-2.6936137;03/11/2024 09:34:37;fence;sleep;normal;03/11/2024 09:00:00
229111;03/11/2024 09:34:37;03/11/2024 09:42:16;poll_msg;38.3804703;-2.6936042;03/11/2024 09:34:37;fence;sleep;normal;03/11/2024 09:00:00
229111;03/11/2024 09:34:37;03/11/2024 09:42:43;poll_msg;38.3804703;-2.6936042;03/11/2024 09:55:37;fence;sleep;normal;03/11/2024 09:00:00
229111;03/11/2024 09:55:37;03/11/2024 09:57:24;poll_msg;38.3807845;-2.6936398;03/11/2024 09:55:37;fence;sleep;normal;03/11/2024 09:00:00
229111;03/11/2024 09:55:37;03/11/2024 10:12:23;poll_msg;38.3807845;-2.6936398;03/11/2024 10:18:02;fence;sleep;normal;03/11/2024 09:00:00
229116;03/11/2024 09:00:42;03/11/2024 09:00:45;poll_msg;38.3810343;-2.6932276;03/11/2024 09:09:27;fence;normal;normal;03/11/2024 09:00:00
229116;03/11/2024 09:09:27;03/11/2024 09:15:44;poll_msg;38.3807754;-2.6938313;03/11/2024 09:30:42;fence;sleep;normal;03/11/2024 09:00:00
229116;03/11/2024 09:30:42;03/11/2024 09:30:44;poll_msg;38.3807294;-2.6938218;03/11/2024 09:31:12;fence;normal;normal;03/11/2024 09:00:00
229116;03/11/2024 09:31:12;03/11/2024 09:31:12;poll_msg;38.3807333;-2.6939611;03/11/2024 09:45:57;fence;normal;normal;03/11/2024 09:00:00
229116;03/11/2024 09:45:57;03/11/2024 09:45:57;poll_msg;38.380969;-2.6937849;03/11/2024 10:00:47;fence;normal;normal;03/11/2024 09:00:00
229175;03/11/2024 09:00:22;03/11/2024 09:00:26;poll_msg;38.381094;-2.6930633;03/11/2024 09:00:37;fence;normal;normal;03/11/2024 09:00:00
229175;03/11/2024 09:00:37;03/11/2024 09:00:41;poll_msg;38.3810682;-2.6931616;03/11/2024 09:05:17;fence;normal;normal;03/11/2024 09:00:00
229175;03/11/2024 09:05:17;03/11/2024 09:15:18;poll_msg;38.3808783;-2.6936582;03/11/2024 09:05:17;fence;sleep;normal;03/11/2024 09:00:00
229175;03/11/2024 09:05:17;03/11/2024 09:30:18;poll_msg;38.3808783;-2.6936582;03/11/2024 09:05:17;fence;sleep;normal;03/11/2024 09:00:00
229175;03/11/2024 09:05:17;03/11/2024 09:45:18;poll_msg;38.3808783;-2.6936582;03/11/2024 09:05:17;fence;sleep;normal;03/11/2024 09:00:00
229175;03/11/2024 09:05:17;03/11/2024 10:00:18;poll_msg;38.3808783;-2.6936582;03/11/2024 09:05:17;fence;sleep;normal;03/11/2024 09:00:00
229175;03/11/2024 09:05:17;03/11/2024 10:00:40;poll_msg;38.3808783;-2.6936582;03/11/2024 09:05:17;fence;sleep;normal;03/11/2024 09:00:00
229175;03/11/2024 09:05:17;03/11/2024 10:15:24;poll_msg;38.3808783;-2.6936582;03/11/2024 10:45:22;fence;sleep;normal;03/11/2024 09:00:00
229181;03/11/2024 09:06:10;03/11/2024 09:14:28;poll_msg;38.380518;-2.6937272;03/11/2024 09:06:10;fence;sleep;normal;03/11/2024 09:00:00
229181;03/11/2024 09:06:10;03/11/2024 09:29:29;poll_msg;38.380518;-2.6937272;03/11/2024 09:06:10;fence;sleep;normal;03/11/2024 09:00:00
229181;03/11/2024 09:06:10;03/11/2024 09:44:44;poll_msg;38.380518;-2.6937272;03/11/2024 09:06:10;fence;sleep;normal;03/11/2024 09:00:00
229181;03/11/2024 09:06:10;03/11/2024 09:59:29;poll_msg;38.380518;-2.6937272;03/11/2024 10:14:27;fence;sleep;normal;03/11/2024 09:00:00
229198;03/11/2024 09:13:42;03/11/2024 09:13:43;poll_msg;38.3810142;-2.6936465;03/11/2024 09:28:37;fence;normal;normal;03/11/2024 09:00:00
229198;03/11/2024 09:28:37;03/11/2024 09:28:38;poll_msg;38.3808368;-2.6938282;03/11/2024 09:29:02;fence;normal;normal;03/11/2024 09:00:00
229198;03/11/2024 09:29:02;03/11/2024 09:29:03;poll_msg;38.3809269;-2.6938578;03/11/2024 09:30:52;fence;normal;normal;03/11/2024 09:00:00
229198;03/11/2024 09:30:52;03/11/2024 09:58:44;poll_msg;38.3809154;-2.6938394;03/11/2024 10:15:42;fence;sleep;normal;03/11/2024 09:00:00
229327;03/11/2024 09:10:57;03/11/2024 09:13:27;poll_msg;38.380882;-2.6937488;03/11/2024 09:19:17;fence;sleep;normal;03/11/2024 09:00:00
229327;03/11/2024 09:19:17;03/11/2024 09:28:26;poll_msg;38.3808883;-2.6937136;03/11/2024 09:19:17;fence;sleep;normal;03/11/2024 09:00:00
229327;03/11/2024 09:19:17;03/11/2024 09:43:26;poll_msg;38.3808883;-2.6937136;03/11/2024 09:19:17;fence;sleep;normal;03/11/2024 09:00:00
229327;03/11/2024 09:19:17;03/11/2024 09:58:26;poll_msg;38.3808883;-2.6937136;03/11/2024 09:19:17;fence;sleep;normal;03/11/2024 09:00:00
229327;03/11/2024 09:19:17;03/11/2024 09:58:49;poll_msg;38.3808883;-2.6937136;03/11/2024 10:05:27;fence;sleep;normal;03/11/2024 09:00:00
229344;03/11/2024 09:11:37;03/11/2024 09:11:37;poll_msg;38.3804387;-2.6939952;03/11/2024 09:26:32;fence;normal;normal;03/11/2024 09:00:00
229344;03/11/2024 09:26:32;03/11/2024 09:26:35;poll_msg;38.3804301;-2.6939073;03/11/2024 09:31:07;fence;normal;normal;03/11/2024 09:00:00
229344;03/11/2024 09:31:07;03/11/2024 09:41:33;poll_msg;38.3804393;-2.6937996;03/11/2024 09:56:32;fence;sleep;normal;03/11/2024 09:00:00
229344;03/11/2024 09:56:32;03/11/2024 09:56:35;poll_msg;38.3809122;-2.6935788;03/11/2024 10:11:32;fence;normal;normal;03/11/2024 09:00:00
246050;03/11/2024 09:00:42;03/11/2024 09:00:42;poll_msg;38.3807803;-2.6938129;03/11/2024 09:07:42;fence;normal;normal;03/11/2024 09:00:00
246050;03/11/2024 09:07:42;03/11/2024 09:15:42;poll_msg;38.3805634;-2.6938722;03/11/2024 09:07:42;fence;sleep;normal;03/11/2024 09:00:00
246050;03/11/2024 09:07:42;03/11/2024 09:30:42;poll_msg;38.3805634;-2.6938722;03/11/2024 09:07:42;fence;sleep;normal;03/11/2024 09:00:00
246050;03/11/2024 09:07:42;03/11/2024 09:45:42;poll_msg;38.3805634;-2.6938722;03/11/2024 09:07:42;fence;sleep;normal;03/11/2024 09:00:00
246050;03/11/2024 09:07:42;03/11/2024 09:46:05;poll_msg;38.3805634;-2.6938722;03/11/2024 10:00:47;fence;sleep;normal;03/11/2024 09:00:00
246064;03/11/2024 09:25:12;03/11/2024 09:30:38;poll_msg;38.3808425;-2.6936799;03/11/2024 09:25:12;fence;sleep;normal;03/11/2024 09:00:00
246064;03/11/2024 09:25:12;03/11/2024 09:45:38;poll_msg;38.3808425;-2.6936799;03/11/2024 10:00:37;fence;sleep;normal;03/11/2024 09:00:00
