device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
218359;17/08/2024 15:23:52;17/08/2024 15:23:56;poll_msg;38.3825989;-2.6982669;17/08/2024 15:39:12;;;;17/08/2024 15:00:00
218359;17/08/2024 15:39:12;17/08/2024 15:39:16;poll_msg;38.3823659;-2.6985481;17/08/2024 15:52:35;;;;17/08/2024 15:00:00
218359;17/08/2024 15:52:35;17/08/2024 15:52:35;warn_msg;38.3821943;-2.6986534;17/08/2024 16:09:02;;;;17/08/2024 15:00:00
218387;17/08/2024 15:14:57;17/08/2024 15:14:59;poll_msg;38.3828928;-2.6979701;17/08/2024 15:29:57;;;;17/08/2024 15:00:00
218387;17/08/2024 15:29:57;17/08/2024 15:29:59;poll_msg;38.3824098;-2.6983406;17/08/2024 15:44:58;;;;17/08/2024 15:00:00
218387;17/08/2024 15:44:58;17/08/2024 15:44:58;poll_msg;38.3822715;-2.6985491;17/08/2024 15:59:58;;;;17/08/2024 15:00:00
218387;17/08/2024 15:59:58;17/08/2024 15:59:58;poll_msg;38.3823242;-2.6986677;17/08/2024 16:14:57;;;;17/08/2024 15:00:00
218390;17/08/2024 15:29:02;17/08/2024 15:29:06;poll_msg;38.3822704;-2.6982855;17/08/2024 15:44:02;;;;17/08/2024 15:00:00
218390;17/08/2024 15:44:02;17/08/2024 15:44:06;poll_msg;38.3822958;-2.6985068;17/08/2024 15:59:02;;;;17/08/2024 15:00:00
218390;17/08/2024 15:59:02;17/08/2024 15:59:06;poll_msg;38.382509;-2.6986681;17/08/2024 16:06:17;;;;17/08/2024 15:00:00
218462;17/08/2024 15:12:32;17/08/2024 15:12:33;poll_msg;38.3826263;-2.6984669;17/08/2024 15:27:32;;;;17/08/2024 15:00:00
218462;17/08/2024 15:27:32;17/08/2024 15:27:33;poll_msg;38.3824294;-2.6984371;17/08/2024 15:42:29;;;;17/08/2024 15:00:00
218462;17/08/2024 15:42:29;17/08/2024 15:42:29;warn_msg;38.3820507;-2.6982977;17/08/2024 15:42:33;;;;17/08/2024 15:00:00
218462;17/08/2024 15:42:33;17/08/2024 15:42:33;poll_msg;38.3820763;-2.6982646;17/08/2024 15:55:04;;;;17/08/2024 15:00:00
218462;17/08/2024 15:55:04;17/08/2024 15:55:04;warn_msg;38.3821799;-2.6986286;17/08/2024 15:57:33;;;;17/08/2024 15:00:00
