device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
229107;26/10/2024 03:16:08;26/10/2024 03:16:22;poll_msg;38.381708;-2.6931977;26/10/2024 03:31:22;fence;sleep;normal;26/10/2024 03:00:00
229107;26/10/2024 03:31:22;26/10/2024 03:31:22;poll_msg;38.3818281;-2.6933334;26/10/2024 03:37:57;fence;normal;normal;26/10/2024 03:00:00
229107;26/10/2024 03:37:57;26/10/2024 03:46:22;poll_msg;38.3814408;-2.6933604;26/10/2024 04:01:17;fence;sleep;normal;26/10/2024 03:00:00
229111;26/10/2024 03:12:53;26/10/2024 03:12:53;poll_msg;38.384164;-2.6894976;26/10/2024 03:14:37;teach;normal;normal;26/10/2024 03:00:00
229111;26/10/2024 03:14:37;26/10/2024 03:27:29;poll_msg;38.3842715;-2.6895412;26/10/2024 03:42:27;teach;sleep;normal;26/10/2024 03:00:00
229111;26/10/2024 03:42:27;26/10/2024 03:42:31;poll_msg;38.3843732;-2.6895555;26/10/2024 03:57:27;teach;normal;normal;26/10/2024 03:00:00
229111;26/10/2024 03:57:27;26/10/2024 03:57:29;poll_msg;38.384337;-2.6894404;26/10/2024 04:08:32;teach;normal;normal;26/10/2024 03:00:00
229116;26/10/2024 03:13:42;26/10/2024 03:13:44;poll_msg;38.3842874;-2.6894746;26/10/2024 03:17:22;teach;normal;normal;26/10/2024 03:00:00
229116;26/10/2024 03:17:22;26/10/2024 03:28:44;poll_msg;38.3843311;-2.6894247;26/10/2024 03:17:22;teach;sleep;normal;26/10/2024 03:00:00
229116;26/10/2024 03:17:22;26/10/2024 03:43:45;poll_msg;38.3843311;-2.6894247;26/10/2024 03:53:52;teach;sleep;normal;26/10/2024 03:00:00
229116;26/10/2024 03:53:52;26/10/2024 03:58:44;poll_msg;38.3843904;-2.6894448;26/10/2024 04:09:02;teach;sleep;normal;26/10/2024 03:00:00
229175;26/10/2024 03:37:07;26/10/2024 03:45:33;poll_msg;38.3816964;-2.6932554;26/10/2024 03:37:07;teach;sleep;normal;26/10/2024 03:00:00
229175;26/10/2024 03:37:07;26/10/2024 04:00:33;poll_msg;38.3816964;-2.6932554;26/10/2024 04:02:57;teach;sleep;normal;26/10/2024 03:00:00
229181;26/10/2024 03:02:42;26/10/2024 03:12:53;poll_msg;38.3817179;-2.6932213;26/10/2024 03:17:52;fence;normal;normal;26/10/2024 03:00:00
229181;26/10/2024 03:17:52;26/10/2024 03:27:53;poll_msg;38.3818427;-2.6931113;26/10/2024 03:42:57;fence;sleep;normal;26/10/2024 03:00:00
229181;26/10/2024 03:42:57;26/10/2024 03:42:59;poll_msg;38.3816651;-2.6933311;26/10/2024 03:47:12;fence;normal;normal;26/10/2024 03:00:00
229181;26/10/2024 03:47:12;26/10/2024 03:57:54;poll_msg;38.381673;-2.6934345;26/10/2024 03:47:12;fence;sleep;normal;26/10/2024 03:00:00
229181;26/10/2024 03:47:12;26/10/2024 04:12:55;poll_msg;38.381673;-2.6934345;26/10/2024 03:47:12;fence;sleep;normal;26/10/2024 03:00:00
229181;26/10/2024 03:47:12;26/10/2024 04:27:55;poll_msg;38.381673;-2.6934345;26/10/2024 04:39:27;fence;sleep;normal;26/10/2024 03:00:00
229198;26/10/2024 03:19:37;26/10/2024 03:29:39;poll_msg;38.3817517;-2.6935068;26/10/2024 03:19:37;fence;sleep;normal;26/10/2024 03:00:00
229198;26/10/2024 03:19:37;26/10/2024 03:44:39;poll_msg;38.3817517;-2.6935068;26/10/2024 03:19:37;fence;sleep;normal;26/10/2024 03:00:00
229198;26/10/2024 03:19:37;26/10/2024 03:59:40;poll_msg;38.3817517;-2.6935068;26/10/2024 04:04:57;fence;sleep;normal;26/10/2024 03:00:00
229327;26/10/2024 03:13:27;26/10/2024 03:13:30;poll_msg;38.3815604;-2.6932275;26/10/2024 03:19:23;teach;normal;normal;26/10/2024 03:00:00
229327;26/10/2024 03:19:23;26/10/2024 03:28:27;poll_msg;38.3817518;-2.6931933;26/10/2024 03:35:47;teach;sleep;normal;26/10/2024 03:00:00
229327;26/10/2024 03:35:47;26/10/2024 03:43:29;poll_msg;38.3818674;-2.6934851;26/10/2024 03:35:47;teach;sleep;normal;26/10/2024 03:00:00
229327;26/10/2024 03:35:47;26/10/2024 03:58:29;poll_msg;38.3818674;-2.6934851;26/10/2024 04:10:37;teach;sleep;normal;26/10/2024 03:00:00
229344;26/10/2024 03:11:37;26/10/2024 03:11:38;poll_msg;38.3842422;-2.6894989;26/10/2024 03:20:47;teach;normal;normal;26/10/2024 03:00:00
229344;26/10/2024 03:20:47;26/10/2024 03:26:39;poll_msg;38.3843506;-2.6893935;26/10/2024 03:20:47;teach;sleep;normal;26/10/2024 03:00:00
