device_id;sent_time;received_time;msg_type;lat;lon;end_date;mode;collar_status;fence_status;hour
229107;05/10/2024 08:01:12;05/10/2024 08:01:14;poll_msg;38.3842735;-2.6899851;05/10/2024 08:16:14;teach;normal;normal;05/10/2024 08:00:00
229107;05/10/2024 08:16:14;05/10/2024 08:16:14;poll_msg;38.3844972;-2.6895201;05/10/2024 08:31:14;teach;normal;normal;05/10/2024 08:00:00
229107;05/10/2024 08:31:14;05/10/2024 08:31:14;poll_msg;38.3844738;-2.6895501;05/10/2024 08:46:12;teach;normal;normal;05/10/2024 08:00:00
229107;05/10/2024 08:46:12;05/10/2024 08:46:14;poll_msg;38.3843241;-2.689541;05/10/2024 09:01:12;teach;normal;normal;05/10/2024 08:00:00
229111;05/10/2024 08:12:49;05/10/2024 08:12:49;poll_msg;38.3843525;-2.6893724;05/10/2024 08:15:10;fence;normal;normal;05/10/2024 08:00:00
229111;05/10/2024 08:15:10;05/10/2024 08:15:10;warn_msg;38.3844243;-2.68936;05/10/2024 08:23:32;unknown;unknown;unknown;05/10/2024 08:00:00
229111;05/10/2024 08:23:32;05/10/2024 08:27:48;poll_msg;38.3842915;-2.6895692;05/10/2024 08:42:47;fence;sleep;normal;05/10/2024 08:00:00
229111;05/10/2024 08:42:47;05/10/2024 08:42:47;poll_msg;38.3840814;-2.6893483;05/10/2024 08:57:47;fence;normal;normal;05/10/2024 08:00:00
229111;05/10/2024 08:57:47;05/10/2024 08:57:48;poll_msg;38.3840254;-2.6893813;05/10/2024 09:12:47;fence;normal;normal;05/10/2024 08:00:00
229116;05/10/2024 08:14:06;05/10/2024 08:14:06;poll_msg;38.3844591;-2.6894651;05/10/2024 08:16:08;teach;normal;normal;05/10/2024 08:00:00
229116;05/10/2024 08:16:08;05/10/2024 08:16:08;warn_msg;38.3844911;-2.6894336;05/10/2024 08:18:25;unknown;unknown;unknown;05/10/2024 08:00:00
229116;05/10/2024 08:18:25;05/10/2024 08:18:25;warn_msg;38.3844717;-2.6894047;05/10/2024 08:29:06;unknown;unknown;unknown;05/10/2024 08:00:00
229116;05/10/2024 08:29:06;05/10/2024 08:29:06;poll_msg;38.3843499;-2.6893569;05/10/2024 08:44:02;teach;normal;normal;05/10/2024 08:00:00
229116;05/10/2024 08:44:02;05/10/2024 08:44:06;poll_msg;38.3840247;-2.6892422;05/10/2024 08:59:02;teach;normal;normal;05/10/2024 08:00:00
229116;05/10/2024 08:59:02;05/10/2024 08:59:06;poll_msg;38.384089;-2.6892441;05/10/2024 09:14:02;teach;normal;normal;05/10/2024 08:00:00
229175;05/10/2024 08:00:52;05/10/2024 08:00:54;poll_msg;38.3842524;-2.6898652;05/10/2024 08:15:52;fence;normal;normal;05/10/2024 08:00:00
229175;05/10/2024 08:15:52;05/10/2024 08:15:54;poll_msg;38.38407;-2.6895537;05/10/2024 08:30:52;fence;normal;normal;05/10/2024 08:00:00
229175;05/10/2024 08:30:52;05/10/2024 08:30:54;poll_msg;38.3840295;-2.6894781;05/10/2024 08:45:52;fence;normal;normal;05/10/2024 08:00:00
229175;05/10/2024 08:45:52;05/10/2024 08:45:54;poll_msg;38.3841248;-2.6895023;05/10/2024 09:00:52;fence;normal;normal;05/10/2024 08:00:00
229181;05/10/2024 08:13:15;05/10/2024 08:13:15;poll_msg;38.3843977;-2.6894144;05/10/2024 08:27:17;fence;normal;normal;05/10/2024 08:00:00
229181;05/10/2024 08:27:17;05/10/2024 08:28:15;poll_msg;38.384428;-2.6897012;05/10/2024 08:43:12;fence;sleep;normal;05/10/2024 08:00:00
229181;05/10/2024 08:43:12;05/10/2024 08:43:16;poll_msg;38.3839627;-2.689689;05/10/2024 08:58:12;fence;normal;normal;05/10/2024 08:00:00
229181;05/10/2024 08:58:12;05/10/2024 08:58:15;poll_msg;38.3843284;-2.6893819;05/10/2024 09:13:12;fence;normal;normal;05/10/2024 08:00:00
229198;05/10/2024 08:14:42;05/10/2024 08:14:42;poll_msg;38.384492;-2.6894715;05/10/2024 08:29:37;fence;normal;normal;05/10/2024 08:00:00
229198;05/10/2024 08:29:37;05/10/2024 08:29:39;poll_msg;38.3842759;-2.6895274;05/10/2024 08:44:42;fence;normal;normal;05/10/2024 08:00:00
229198;05/10/2024 08:44:42;05/10/2024 08:44:42;poll_msg;38.3839112;-2.6896424;05/10/2024 08:59:42;fence;normal;normal;05/10/2024 08:00:00
229198;05/10/2024 08:59:42;05/10/2024 08:59:42;poll_msg;38.3841752;-2.6893871;05/10/2024 09:14:42;fence;normal;normal;05/10/2024 08:00:00
229327;05/10/2024 08:13:20;05/10/2024 08:13:20;poll_msg;38.3845365;-2.6896077;05/10/2024 08:28:20;teach;normal;normal;05/10/2024 08:00:00
229327;05/10/2024 08:28:20;05/10/2024 08:28:20;poll_msg;38.3845013;-2.6896137;05/10/2024 08:43:17;teach;normal;normal;05/10/2024 08:00:00
229327;05/10/2024 08:43:17;05/10/2024 08:43:20;poll_msg;38.3839413;-2.6894246;05/10/2024 08:58:17;teach;normal;normal;05/10/2024 08:00:00
229327;05/10/2024 08:58:17;05/10/2024 08:58:20;poll_msg;38.3839137;-2.6893641;05/10/2024 09:13:17;teach;normal;normal;05/10/2024 08:00:00
229344;05/10/2024 08:11:54;05/10/2024 08:11:54;poll_msg;38.3844876;-2.6895718;05/10/2024 08:26:54;fence;normal;normal;05/10/2024 08:00:00
229344;05/10/2024 08:26:54;05/10/2024 08:26:54;poll_msg;38.384344;-2.6894379;05/10/2024 08:41:55;fence;normal;normal;05/10/2024 08:00:00
229344;05/10/2024 08:41:55;05/10/2024 08:41:55;poll_msg;38.3841898;-2.6892765;05/10/2024 08:56:54;fence;normal;normal;05/10/2024 08:00:00
229344;05/10/2024 08:56:54;05/10/2024 08:56:54;poll_msg;38.3842086;-2.6892582;05/10/2024 09:11:52;fence;normal;normal;05/10/2024 08:00:00
246050;05/10/2024 08:01:02;05/10/2024 08:01:04;poll_msg;38.3842752;-2.6897934;05/10/2024 08:16:04;teach;normal;normal;05/10/2024 08:00:00
246050;05/10/2024 08:16:04;05/10/2024 08:16:04;poll_msg;38.3844671;-2.6895476;05/10/2024 08:31:02;teach;normal;normal;05/10/2024 08:00:00
246050;05/10/2024 08:31:02;05/10/2024 08:31:04;poll_msg;38.3840659;-2.6896672;05/10/2024 08:46:02;teach;normal;normal;05/10/2024 08:00:00
246050;05/10/2024 08:46:02;05/10/2024 08:46:04;poll_msg;38.3839809;-2.6893232;05/10/2024 09:01:02;teach;normal;normal;05/10/2024 08:00:00
246064;05/10/2024 08:00:57;05/10/2024 08:00:57;poll_msg;38.3843223;-2.6899514;05/10/2024 08:16:22;teach;normal;normal;05/10/2024 08:00:00
246064;05/10/2024 08:16:22;05/10/2024 08:16:25;poll_msg;38.3841037;-2.6893862;05/10/2024 08:30:52;teach;normal;normal;05/10/2024 08:00:00
246064;05/10/2024 08:30:52;05/10/2024 08:30:55;poll_msg;38.3841446;-2.6894174;05/10/2024 08:45:52;teach;normal;normal;05/10/2024 08:00:00
246064;05/10/2024 08:45:52;05/10/2024 08:45:55;poll_msg;38.3840329;-2.6892947;05/10/2024 09:00:52;teach;normal;normal;05/10/2024 08:00:00
