time,device_id,msg_type,position_time,lat,lon,mode,collar_status,fence_status
2024-11-01 01:01:25+00:00,229107,poll_message_req,2024-11-01 00:40:37+00:00,38.3803318,-2.6936547,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:12:25+00:00,229111,poll_message_req,2024-11-01 01:12:22+00:00,38.3802761,-2.6936815,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:13:32+00:00,229327,poll_message_req,2024-11-01 00:57:47+00:00,38.3802602,-2.6937222,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:13:45+00:00,229198,poll_message_req,2024-11-01 00:13:27+00:00,38.380355,-2.6936199,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:15:26+00:00,229175,poll_message_req,2024-11-01 01:11:02+00:00,38.3802311,-2.6936846,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:15:45+00:00,246064,poll_message_req,2024-11-01 01:15:42+00:00,38.3803251,-2.6935387,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:15:50+00:00,246050,poll_message_req,2024-11-01 01:15:47+00:00,38.3801721,-2.6935828,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:16:01+00:00,229116,poll_message_req,2024-11-01 00:35:42+00:00,38.3803822,-2.693686,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:16:25+00:00,229107,poll_message_req,2024-11-01 01:16:12+00:00,38.3803017,-2.6937483,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:26:34+00:00,229344,poll_message_req,2024-11-01 01:21:47+00:00,38.3803873,-2.6937316,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:27:26+00:00,229111,poll_message_req,2024-11-01 01:27:22+00:00,38.3804353,-2.6935626,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:28:32+00:00,229327,poll_message_req,2024-11-01 01:15:52+00:00,38.3802946,-2.6935752,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:28:44+00:00,229198,poll_message_req,2024-11-01 01:28:42+00:00,38.380189,-2.6934713,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:30:26+00:00,229175,poll_message_req,2024-11-01 01:11:02+00:00,38.3802311,-2.6936846,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:30:45+00:00,246064,poll_message_req,2024-11-01 01:19:32+00:00,38.380307,-2.6936485,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:30:50+00:00,246050,poll_message_req,2024-11-01 01:18:27+00:00,38.3802659,-2.6935916,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:30:53+00:00,229116,poll_message_req,2024-11-01 01:30:52+00:00,38.3803656,-2.6938038,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:31:25+00:00,229107,poll_message_req,2024-11-01 01:28:17+00:00,38.3803593,-2.6936894,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:41:35+00:00,229344,poll_message_req,2024-11-01 01:21:47+00:00,38.3803873,-2.6937316,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:42:26+00:00,229111,poll_message_req,2024-11-01 01:42:22+00:00,38.3804508,-2.69344,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:43:32+00:00,229327,poll_message_req,2024-11-01 01:15:52+00:00,38.3802946,-2.6935752,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:43:48+00:00,229198,poll_message_req,2024-11-01 01:32:17+00:00,38.3804055,-2.6937225,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:45:26+00:00,229175,poll_message_req,2024-11-01 01:11:02+00:00,38.3802311,-2.6936846,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:45:45+00:00,246064,poll_message_req,2024-11-01 01:33:42+00:00,38.3804232,-2.693592,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:45:50+00:00,246050,poll_message_req,2024-11-01 01:39:22+00:00,38.3802506,-2.6936523,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:45:53+00:00,229116,poll_message_req,2024-11-01 01:38:37+00:00,38.3804909,-2.6937726,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:46:23+00:00,229107,poll_message_req,2024-11-01 01:43:16+00:00,38.380333,-2.693688,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:56:35+00:00,229344,poll_message_req,2024-11-01 01:54:57+00:00,38.3804059,-2.6937336,Fence,Sleep,FenceStatus_Normal
2024-11-01 01:57:26+00:00,229111,poll_message_req,2024-11-01 01:57:22+00:00,38.3805062,-2.6934443,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:58:32+00:00,229327,poll_message_req,2024-11-01 01:58:32+00:00,38.3803047,-2.6935713,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 01:58:46+00:00,229198,poll_message_req,2024-11-01 01:53:22+00:00,38.3804052,-2.6936904,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:00:27+00:00,229175,poll_message_req,2024-11-01 01:11:02+00:00,38.3802311,-2.6936846,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:00:45+00:00,246064,poll_message_req,2024-11-01 01:33:42+00:00,38.3804232,-2.693592,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:00:53+00:00,229116,poll_message_req,2024-11-01 01:38:37+00:00,38.3804909,-2.6937726,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:00:56+00:00,246050,poll_message_req,2024-11-01 02:00:42+00:00,38.3802972,-2.6937461,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:01:25+00:00,229107,poll_message_req,2024-11-01 01:58:12+00:00,38.3804431,-2.6936845,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:11:35+00:00,229344,poll_message_req,2024-11-01 01:54:57+00:00,38.3804059,-2.6937336,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:12:26+00:00,229111,poll_message_req,2024-11-01 02:12:22+00:00,38.3806052,-2.6936444,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 02:13:32+00:00,229327,poll_message_req,2024-11-01 02:09:42+00:00,38.3802989,-2.6936333,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:13:50+00:00,229198,poll_message_req,2024-11-01 01:53:22+00:00,38.3804052,-2.6936904,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:15:27+00:00,229175,poll_message_req,2024-11-01 01:11:02+00:00,38.3802311,-2.6936846,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:15:45+00:00,246064,poll_message_req,2024-11-01 01:33:42+00:00,38.3804232,-2.693592,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:15:50+00:00,246050,poll_message_req,2024-11-01 02:15:47+00:00,38.38036,-2.6937962,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 02:15:53+00:00,229116,poll_message_req,2024-11-01 02:05:22+00:00,38.3804198,-2.6937446,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:16:25+00:00,229107,poll_message_req,2024-11-01 02:05:37+00:00,38.3802424,-2.6938508,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:26:34+00:00,229344,poll_message_req,2024-11-01 02:23:47+00:00,38.3804091,-2.6937796,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:27:24+00:00,229111,poll_message_req,2024-11-01 02:27:22+00:00,38.3806569,-2.693726,Fence,CollarStatus_Normal,FenceStatus_Normal
2024-11-01 02:28:33+00:00,229327,poll_message_req,2024-11-01 02:21:07+00:00,38.3803013,-2.6935748,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:30:26+00:00,229175,poll_message_req,2024-11-01 01:11:02+00:00,38.3802311,-2.6936846,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:30:26+00:00,229198,poll_message_req,2024-11-01 01:53:22+00:00,38.3804052,-2.6936904,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:30:45+00:00,246064,poll_message_req,2024-11-01 01:33:42+00:00,38.3804232,-2.693592,Fence,Sleep,FenceStatus_Normal
2024-11-01 02:30:52+00:00,246050,poll_message_req,2024-11-01 02:20:07+00:00,38.3802628,-2.6935372,Fence,Sleep,FenceStatus_Normal
